id,tm,y,x,z
1,1,0.44155321804725395,0.8414709848078965,-0.41614683654714241
1,2,1.4881389461177355,0.90929742682568171,-0.65364362086361194
1,3,-0.35028674933066617,0.14112000805986721,0.96017028665036597
1,4,-0.54267127340999199,-0.75680249530792831,-0.14550003380861354
2,1,0.109471001934138,-0.95892427466313845,-0.83907152907645244
2,2,-0.84401805917017314,-0.27941549819892586,0.84385395873249214
2,3,1.149082355894149,0.65698659871878906,0.13673721820783361
2,4,1.0463920113391654,0.98935824662338179,-0.95765948032338466
3,1,0.4440024024199748,0.41211848524175659,0.66031670824408017
3,2,-0.10333159578287959,-0.54402111088936977,0.40808206181339202
3,3,-0.50940149574613169,-0.99999020655070348,-0.99996082639463713
3,4,0.20036549887073868,-0.53657291800043494,0.42417900733699698
4,1,0.039854611035133269,0.42016703682664092,0.64691932232864036
4,2,1.8203394718637094,0.99060735569487035,-0.96260586631356659
4,3,0.88418453965100963,0.65028784015711683,0.15425144988758405
4,4,-0.4503389922402663,-0.2879033166650653,0.83422336050651025
5,1,0.53032313550859189,-0.96139749187955681,-0.84857027478460523
5,2,-0.54355143902987002,-0.75098724677167616,-0.12796368962740468
5,3,0.61569242298115445,0.14987720966295234,0.95507364404729489
5,4,1.3502200432952371,0.91294525072762767,-0.66693806165226188
6,1,1.3006896193315214,0.83665563853605596,-0.39998531498835127
