y,x,id,yr,ind,reg
1.4833333333333332,0,1,1,1,1
1.8149074893483466,0.14112000805986721,2,1,1,1
2.2572541054700705,-0.27941549819892586,3,2,1,1
3.7259644682249333,0.41211848524175659,4,2,1,1
3.5274223828820976,-0.53657291800043494,5,3,2,1
5.302096030309877,0.65028784015711683,6,3,2,1
4.9711429143921197,-0.75098724677167616,7,4,2,1
3.4113616880360937,0.83665563853605596,1,4,2,2
2.8960610864803722,-0.90557836200662389,2,5,3,2
5.4481315730980251,0.95637592840450303,3,5,3,2
3.9851928812706641,-0.98803162409286183,4,6,3,2
6.6684731038864431,0.99991186010726718,5,6,3,2
3.8979969018786718,-0.99177885344311578,6,1,4,2
6.0071912917113881,0.96379538628408779,7,1,4,2
1.9017712705143224,-0.91652154791563378,1,2,4,3
4.2509533112797531,0.85090352453411844,2,2,4,3
2.3840035115385274,-0.76825466132366682,3,3,1,3
4.6034640251515766,0.67022917584337471,4,3,1,3
4.2311057867466015,-0.55878904885161629,5,4,1,3
5.4195295336650906,0.43616475524782494,6,4,1,3
6.0743518006041519,-0.30481062110221668,7,5,2,3
3.1107564885130081,0.16735570030280691,1,5,2,1
3.476894043682333,-0.026551154023966794,2,6,2,1
4.2237986975809898,-0.11478481378318722,3,6,2,1
3.5818990100715058,0.25382336276203626,4,1,3,1
3.2079548374899844,-0.38778163540943045,5,1,3,1
5.2914073878497971,0.51397845598753522,6,2,3,1
4.4982671396510101,-0.62988799427445386,7,2,3,1
3.4598429155321542,0.73319032007329221,1,3,4,2
2.7565885874126099,-0.82181783663082253,2,3,4,2
5.1052405641538963,0.89399666360055785,3,4,4,2
3.6308428253706744,-0.94828214126994725,4,4,4,2
5.9912727140989901,0.98358774543434491,5,5,1,2
4.2624155726877282,-0.9992068341863537,6,5,1,2
7.0141071927519985,0.99482679135840635,7,6,1,2
2.5777068743381029,-0.97053528353748475,1,6,1,3
3.2737053764006099,0.92681850541778499,2,1,2,3
1.9652382405916353,-0.86455144861060829,3,1,2,3
4.7515212849001784,0.78498038868131048,4,2,2,3
3.461558442081321,-0.68969794093538905,5,2,2,3
5.8571641332318398,0.58061118421231428,6,3,3,3
5.5859649907587441,-0.45990349068959124,7,3,3,3
2.9722054130976949,0.32999082567378202,1,4,3,1
3.0485811924480166,-0.19347339203846847,2,4,3,1
4.6060881568598813,0.053083587146058243,3,5,4,1
4.7921886580419963,0.088368686104001434,4,5,4,1
5.464001636719388,-0.22805225950086119,5,6,4,1
6.7347226871918267,0.363171365373259,6,6,4,1
