x,y,g,w
0,0,1,2
0.02564102564102564,0,1,3
0.05128205128205128,1,1,1
0.076923076923076927,1,1,2
0.10256410256410256,1,1,3
0.12820512820512819,1,2,1
0.15384615384615385,1,2,2
0.17948717948717949,1,2,3
0.20512820512820512,1,2,1
0.23076923076923078,1,2,2
0.25641025641025639,1,3,3
0.28205128205128205,1,3,1
0.30769230769230771,1,3,2
0.33333333333333331,1,3,3
0.35897435897435898,1,3,1
0.38461538461538464,1,4,2
0.41025641025641024,1,4,3
0.4358974358974359,0,4,1
0.46153846153846156,0,4,2
0.48717948717948717,0,4,3
0.51282051282051277,0,5,1
0.53846153846153844,0,5,2
0.5641025641025641,0,5,3
0.58974358974358976,0,5,1
0.61538461538461542,0,5,2
0.64102564102564108,0,6,3
0.66666666666666663,0,6,1
0.69230769230769229,0,6,2
0.71794871794871795,0,6,3
0.74358974358974361,0,6,1
0.76923076923076927,0,7,2
0.79487179487179482,0,7,3
0.82051282051282048,0,7,1
0.84615384615384615,0,7,2
0.87179487179487181,0,7,3
0.89743589743589747,1,8,1
0.92307692307692313,1,8,2
0.94871794871794868,1,8,3
0.97435897435897434,1,8,1
1,1,8,2
